,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Amarante do Maranhao,100,BR,1579820039,96,-5.57,-46.74,74.03,3.38
85,Kodiak,1,US,1579819894,48,57.79,-152.41,19.4,26.4
86,Siderno,40,IT,1579820040,82,38.28,16.3,55.4,6.93
87,Acapulco de Juarez,75,MX,1579820017,70,16.86,-99.89,84.2,11.41
88,Pandan,71,PH,1579820040,81,14.05,124.17,80.53,18.61
89,Garut,100,ID,1579820040,91,-7.2,107.89,71.91,1.45
90,Amboise,67,FR,1579820040,86,47.41,0.98,33.8,8.05
91,Saint-Philippe,75,RE,1579820041,94,-21.36,55.77,78.8,3.36
92,Saint-Joseph,75,RE,1579820041,94,-21.37,55.62,78.8,3.36
93,Vaini,20,TO,1579819881,78,-21.2,-175.2,82.4,6.93
94,Coquimbo,38,CL,1579820041,60,-29.95,-71.34,71.6,13.87
95,Ciudad Lazaro Cardenas,97,MX,1579820041,68,17.96,-102.2,79.41,6.64
96,Gamba,100,GA,1579820041,86,-2.65,10.0,79.2,2.77
97,Cabedelo,20,BR,1579819794,78,-6.98,-34.83,82.4,9.17
98,Saint Anthony,90,US,1579819860,98,45.02,-93.22,34.0,4.56
99,Tombouctou,85,ML,1579820042,13,20.0,-3.0,78.19,8.46
100,Indramayu,100,ID,1579820042,80,-6.33,108.32,80.33,5.23
101,Port Blair,38,IN,1579820042,94,11.67,92.75,75.2,12.97
102,Sagua la Grande,40,CU,1579820042,57,22.81,-80.08,75.2,11.41
103,Port Elizabeth,11,ZA,1579819814,88,-33.92,25.57,64.4,10.29
104,Lagoa,74,PT,1579820043,66,39.05,-27.98,56.97,8.23
105,Kargopol,99,RU,1579820043,89,61.51,38.95,17.92,5.21
106,Kaoma,91,ZM,1579820043,96,-14.78,24.8,63.3,3.22
107,Kavieng,55,PG,1579819917,69,-2.57,150.8,83.61,8.7
108,Sao Filipe,1,CV,1579820043,74,14.9,-24.5,71.56,8.77
109,Saskylakh,45,RU,1579820043,95,71.92,114.08,-36.36,12.62
110,Kolobrzeg,95,PL,1579820044,10,54.18,15.58,36.0,12.68
111,Viedma,22,AR,1579819972,66,-40.81,-63.0,73.45,11.83
112,Den Helder,90,NL,1579820044,93,52.96,4.76,41.0,5.82
113,Karasburg,0,NA,1579819915,60,-28.02,18.75,64.06,15.73
114,Nikolskoye,90,RU,1579820044,96,59.7,30.79,33.01,8.95
